participant,block,folder,role,image_1,image_2,image_3,image_4,image_5,image_6,selected_indices,response_time,status
,1,False,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_7.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/s_06.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_30.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_14.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_48.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_29.png,",,,,,",0.635,completed
,2,False,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_16.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_31.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_24.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_23.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_9.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyA/shape_02.png,,120.0,completed
,3,False,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_8.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_25.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_46.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_24.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_18.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_4.png,",,,,,",3.605,completed
,4,False,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_37.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_2.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_47.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_29.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_35.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardA/shape_42.png,,120.0,completed
,5,True,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_10.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_01.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_08.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_03.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_04.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_02.png,",,,,,",11.218,completed
,6,True,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_09.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_05.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_12.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_07.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_11.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlA/control_06.png,,120.0,completed
,7,True,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_36.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_26.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_25.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_33.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_27.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_34.png,",,,,,",1.676,completed
,8,True,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_35.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_30.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_29.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_31.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_32.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/controlC/control_28.png,,120.0,completed
,9,False,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_42.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/s_29.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_28.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_27.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_16.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_15.png,",,,,,",4.304,completed
,10,False,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_44.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_36.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_19.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_31.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/shape_37.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/easyB/s_26.png,,120.0,completed
,11,False,guessor,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/s_16.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_24.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_41.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_1.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_8.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_40.png,",,,,,",1.439,completed
,12,False,director,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_2.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/s_20.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_31.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_19.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_39.png,/Users/mizwally/Desktop/SCANS-Tangrams/Tangrams_images/hardB/shape_7.png,,120.0,completed
